site,safra,material,ciclo,epoca,rain_q1.low,rain_q1.med,rain_q1.high,rain_q2.norain,rain_q2.low,rain_q2.med,rain_q3.norain,rain_q3.low,rain_q4.low,rain_q4.med,rain_q4.high,depth,PH_CACL2,PH_AGUA,MO_GDM3,P_meh_MG_DM3,P_res_MG_DM3,K_MG_DM3,CA_CMOLCDM3,MG_CMOLCDM3,AL_CMOLCDM3,H_Al_CMOLCDM3,SOM_BASES,CTC,SAT_BASES,S_MG_DM3,ZN_MG_DM3,B_MG_DM3,CU_MG_DM3,MN_MG_DM3,FE_MG_DM3,REL_CAMG,SATPOR_K,SATPOR_CA,SATPOR_MG,SATPOR_H,SATDE_AL,ARGILA,productivity
anastácio,2010-2011,b,106,2,0,0,1,1,0,0,1,0,1,0,0,00-20,5.1,5.8,8.2,6.4,3.8,0.32,1.5,0.6,0,1.4,2.2,3.6,60.5,7.6,0.4,0.34,0.3,19,67,2.6,2.3,41.6,16.1,39.5,0,13.8,41.9
anastácio,2010-2011,b,120,3,0,0,1,1,0,0,1,0,1,0,0,20-40,4.1,4.8,4.1,1.8,5,0.2,0.3,0.2,0.6,1.9,0.6,2.4,23.1,8.4,8.57,0.33,1.8,12.3,141.72,1.8,2.2,12.6,6.9,52.8,51,50,44.2
anastácio,2010-2011,b,120,3,0,0,1,1,0,0,1,0,1,0,0,00-20,5.1,5.8,8.2,6.4,3.8,0.32,1.5,0.6,0,1.4,2.2,3.6,60.5,7.6,0.4,0.34,0.3,19,67,2.6,2.3,41.6,16.1,39.5,0,13.8,44.2
anastácio,2010-2011,b,124,1,0,0,1,1,0,0,1,0,1,0,0,20-40,4.1,4.8,4.1,1.8,5,0.2,0.3,0.2,0.6,1.9,0.6,2.4,23.1,8.4,8.57,0.33,1.8,12.3,141.72,1.8,2.2,12.6,6.9,52.8,51,50,25.1
anastácio,2010-2011,b,124,1,0,0,1,1,0,0,1,0,1,0,0,00-20,5.1,5.8,8.2,6.4,3.8,0.32,1.5,0.6,0,1.4,2.2,3.6,60.5,7.6,0.4,0.34,0.3,19,67,2.6,2.3,41.6,16.1,39.5,0,13.8,25.1
anastácio,2010-2011,m,113,3,0,0,1,1,0,0,1,0,1,0,0,20-40,4.1,4.8,4.1,1.8,5,0.2,0.3,0.2,0.6,1.9,0.6,2.4,23.1,8.4,8.57,0.33,1.8,12.3,141.72,1.8,2.2,12.6,6.9,52.8,51,50,40.6
anastácio,2010-2011,m,113,3,0,0,1,1,0,0,1,0,1,0,0,00-20,5.1,5.8,8.2,6.4,3.8,0.32,1.5,0.6,0,1.4,2.2,3.6,60.5,7.6,0.4,0.34,0.3,19,67,2.6,2.3,41.6,16.1,39.5,0,13.8,40.6
antôniojoão,2012-2013,s,108,1,0,1,0,0,0,1,1,0,0,0,1,20-40,4.27,4.89,24.46,1.97,52.88,0.1,1.2,0.7,1.85,6.59,2,8.59,23.28,82.66,0.74,0.23,4.52,12.26,36.99,1.71,1.16,13.97,8.15,55.8,12.2,70,42
antôniojoão,2012-2013,s,108,1,0,1,0,0,0,1,1,0,0,0,1,00-20,4.62,5.22,35.34,14.18,52.88,0.36,3.6,0.95,0.49,6.37,4.91,11.28,43.53,26.88,1.39,0.24,4.68,18.41,33.06,3.79,3.19,31.91,8.42,52.3,7.14,67,42
antôniojoão,2012-2013,n,118,2,0,1,0,0,0,1,1,0,0,0,1,20-40,4.27,4.89,24.46,1.97,52.88,0.1,1.2,0.7,1.85,6.59,2,8.59,23.28,82.66,0.74,0.23,4.52,12.26,36.99,1.71,1.16,13.97,8.15,55.8,12.2,70,56.1
antôniojoão,2012-2013,n,118,2,0,1,0,0,0,1,1,0,0,0,1,00-20,4.62,5.22,35.34,14.18,52.88,0.36,3.6,0.95,0.49,6.37,4.91,11.28,43.53,26.88,1.39,0.24,4.68,18.41,33.06,3.79,3.19,31.91,8.42,52.3,7.14,67,56.1
antôniojoão,2012-2013,d,95,3,0,1,0,0,0,1,1,0,0,0,1,20-40,4.27,4.89,24.46,1.97,52.88,0.1,1.2,0.7,1.85,6.59,2,8.59,23.28,82.66,0.74,0.23,4.52,12.26,36.99,1.71,1.16,13.97,8.15,55.8,12.2,70,52.5
antôniojoão,2012-2013,d,95,3,0,1,0,0,0,1,1,0,0,0,1,00-20,4.62,5.22,35.34,14.18,52.88,0.36,3.6,0.95,0.49,6.37,4.91,11.28,43.53,26.88,1.39,0.24,4.68,18.41,33.06,3.79,3.19,31.91,8.42,52.3,7.14,67,52.5
antôniojoão,2012-2013,f,90,2,0,1,0,0,0,1,1,0,0,0,1,20-40,4.27,4.89,24.46,1.97,52.88,0.1,1.2,0.7,1.85,6.59,2,8.59,23.28,82.66,0.74,0.23,4.52,12.26,36.99,1.71,1.16,13.97,8.15,55.8,12.2,70,42.9
antôniojoão,2012-2013,f,90,2,0,1,0,0,0,1,1,0,0,0,1,00-20,4.62,5.22,35.34,14.18,52.88,0.36,3.6,0.95,0.49,6.37,4.91,11.28,43.53,26.88,1.39,0.24,4.68,18.41,33.06,3.79,3.19,31.91,8.42,52.3,7.14,67,42.9
antôniojoão,2012-2013,t,118,2,0,1,0,0,0,1,1,0,0,0,1,20-40,4.27,4.89,24.46,1.97,52.88,0.1,1.2,0.7,1.85,6.59,2,8.59,23.28,82.66,0.74,0.23,4.52,12.26,36.99,1.71,1.16,13.97,8.15,55.8,12.2,70,48.8
antôniojoão,2012-2013,t,118,2,0,1,0,0,0,1,1,0,0,0,1,00-20,4.62,5.22,35.34,14.18,52.88,0.36,3.6,0.95,0.49,6.37,4.91,11.28,43.53,26.88,1.39,0.24,4.68,18.41,33.06,3.79,3.19,31.91,8.42,52.3,7.14,67,48.8
antôniojoão,2012-2013,f,110,2,0,1,0,0,0,1,1,0,0,0,1,20-40,4.27,4.89,24.46,1.97,52.88,0.1,1.2,0.7,1.85,6.59,2,8.59,23.28,82.66,0.74,0.23,4.52,12.26,36.99,1.71,1.16,13.97,8.15,55.8,12.2,70,61.4
antôniojoão,2012-2013,f,110,2,0,1,0,0,0,1,1,0,0,0,1,00-20,4.62,5.22,35.34,14.18,52.88,0.36,3.6,0.95,0.49,6.37,4.91,11.28,43.53,26.88,1.39,0.24,4.68,18.41,33.06,3.79,3.19,31.91,8.42,52.3,7.14,67,61.4
antôniojoão,2012-2013,t,112,2,0,1,0,0,0,1,1,0,0,0,1,20-40,4.27,4.89,24.46,1.97,52.88,0.1,1.2,0.7,1.85,6.59,2,8.59,23.28,82.66,0.74,0.23,4.52,12.26,36.99,1.71,1.16,13.97,8.15,55.8,12.2,70,43
antôniojoão,2012-2013,t,112,2,0,1,0,0,0,1,1,0,0,0,1,00-20,4.62,5.22,35.34,14.18,52.88,0.36,3.6,0.95,0.49,6.37,4.91,11.28,43.53,26.88,1.39,0.24,4.68,18.41,33.06,3.79,3.19,31.91,8.42,52.3,7.14,67,43
antôniojoão,2012-2013,v,98,1,0,1,0,0,0,1,1,0,0,0,1,20-40,4.27,4.89,24.46,1.97,52.88,0.1,1.2,0.7,1.85,6.59,2,8.59,23.28,82.66,0.74,0.23,4.52,12.26,36.99,1.71,1.16,13.97,8.15,55.8,12.2,70,58.4
antôniojoão,2012-2013,v,98,1,0,1,0,0,0,1,1,0,0,0,1,00-20,4.62,5.22,35.34,14.18,52.88,0.36,3.6,0.95,0.49,6.37,4.91,11.28,43.53,26.88,1.39,0.24,4.68,18.41,33.06,3.79,3.19,31.91,8.42,52.3,7.14,67,58.4
antôniojoão,2012-2013,s,91,2,0,1,0,0,0,1,1,0,0,0,1,20-40,4.27,4.89,24.46,1.97,52.88,0.1,1.2,0.7,1.85,6.59,2,8.59,23.28,82.66,0.74,0.23,4.52,12.26,36.99,1.71,1.16,13.97,8.15,55.8,12.2,70,40.6
antôniojoão,2012-2013,s,91,2,0,1,0,0,0,1,1,0,0,0,1,00-20,4.62,5.22,35.34,14.18,52.88,0.36,3.6,0.95,0.49,6.37,4.91,11.28,43.53,26.88,1.39,0.24,4.68,18.41,33.06,3.79,3.19,31.91,8.42,52.3,7.14,67,40.6
antôniojoão,2012-2013,f,108,2,0,1,0,0,0,1,1,0,0,0,1,20-40,4.27,4.89,24.46,1.97,52.88,0.1,1.2,0.7,1.85,6.59,2,8.59,23.28,82.66,0.74,0.23,4.52,12.26,36.99,1.71,1.16,13.97,8.15,55.8,12.2,70,52.9
antôniojoão,2012-2013,f,108,2,0,1,0,0,0,1,1,0,0,0,1,00-20,4.62,5.22,35.34,14.18,52.88,0.36,3.6,0.95,0.49,6.37,4.91,11.28,43.53,26.88,1.39,0.24,4.68,18.41,33.06,3.79,3.19,31.91,8.42,52.3,7.14,67,52.9
antôniojoão,2012-2013,f,91,2,0,1,0,0,0,1,1,0,0,0,1,20-40,4.27,4.89,24.46,1.97,52.88,0.1,1.2,0.7,1.85,6.59,2,8.59,23.28,82.66,0.74,0.23,4.52,12.26,36.99,1.71,1.16,13.97,8.15,55.8,12.2,70,43.3
antôniojoão,2012-2013,f,91,2,0,1,0,0,0,1,1,0,0,0,1,00-20,4.62,5.22,35.34,14.18,52.88,0.36,3.6,0.95,0.49,6.37,4.91,11.28,43.53,26.88,1.39,0.24,4.68,18.41,33.06,3.79,3.19,31.91,8.42,52.3,7.14,67,43.3
antôniojoão,2012-2013,s,101,2,0,1,0,0,0,1,1,0,0,0,1,20-40,4.27,4.89,24.46,1.97,52.88,0.1,1.2,0.7,1.85,6.59,2,8.59,23.28,82.66,0.74,0.23,4.52,12.26,36.99,1.71,1.16,13.97,8.15,55.8,12.2,70,58.3
antôniojoão,2012-2013,s,101,2,0,1,0,0,0,1,1,0,0,0,1,00-20,4.62,5.22,35.34,14.18,52.88,0.36,3.6,0.95,0.49,6.37,4.91,11.28,43.53,26.88,1.39,0.24,4.68,18.41,33.06,3.79,3.19,31.91,8.42,52.3,7.14,67,58.3
antôniojoão,2012-2013,c,102,2,0,1,0,0,0,1,1,0,0,0,1,20-40,4.27,4.89,24.46,1.97,52.88,0.1,1.2,0.7,1.85,6.59,2,8.59,23.28,82.66,0.74,0.23,4.52,12.26,36.99,1.71,1.16,13.97,8.15,55.8,12.2,70,50.7
antôniojoão,2012-2013,c,102,2,0,1,0,0,0,1,1,0,0,0,1,00-20,4.62,5.22,35.34,14.18,52.88,0.36,3.6,0.95,0.49,6.37,4.91,11.28,43.53,26.88,1.39,0.24,4.68,18.41,33.06,3.79,3.19,31.91,8.42,52.3,7.14,67,50.7
antôniojoão,2012-2013,s,110,1,0,1,0,0,0,1,1,0,0,0,1,20-40,4.27,4.89,24.46,1.97,52.88,0.1,1.2,0.7,1.85,6.59,2,8.59,23.28,82.66,0.74,0.23,4.52,12.26,36.99,1.71,1.16,13.97,8.15,55.8,12.2,70,48.2
antôniojoão,2012-2013,s,110,1,0,1,0,0,0,1,1,0,0,0,1,00-20,4.62,5.22,35.34,14.18,52.88,0.36,3.6,0.95,0.49,6.37,4.91,11.28,43.53,26.88,1.39,0.24,4.68,18.41,33.06,3.79,3.19,31.91,8.42,52.3,7.14,67,48.2
antôniojoão,2012-2013,c,118,1,0,1,0,0,0,1,1,0,0,0,1,20-40,4.27,4.89,24.46,1.97,52.88,0.1,1.2,0.7,1.85,6.59,2,8.59,23.28,82.66,0.74,0.23,4.52,12.26,36.99,1.71,1.16,13.97,8.15,55.8,12.2,70,51.8
antôniojoão,2012-2013,c,118,1,0,1,0,0,0,1,1,0,0,0,1,00-20,4.62,5.22,35.34,14.18,52.88,0.36,3.6,0.95,0.49,6.37,4.91,11.28,43.53,26.88,1.39,0.24,4.68,18.41,33.06,3.79,3.19,31.91,8.42,52.3,7.14,67,51.8
antôniojoão,2012-2013,b,107,2,0,1,0,0,0,1,1,0,0,0,1,20-40,4.27,4.89,24.46,1.97,52.88,0.1,1.2,0.7,1.85,6.59,2,8.59,23.28,82.66,0.74,0.23,4.52,12.26,36.99,1.71,1.16,13.97,8.15,55.8,12.2,70,60.5
antôniojoão,2012-2013,b,107,2,0,1,0,0,0,1,1,0,0,0,1,00-20,4.62,5.22,35.34,14.18,52.88,0.36,3.6,0.95,0.49,6.37,4.91,11.28,43.53,26.88,1.39,0.24,4.68,18.41,33.06,3.79,3.19,31.91,8.42,52.3,7.14,67,60.5
antôniojoão,2012-2013,n,112,2,0,1,0,0,0,1,1,0,0,0,1,20-40,4.27,4.89,24.46,1.97,52.88,0.1,1.2,0.7,1.85,6.59,2,8.59,23.28,82.66,0.74,0.23,4.52,12.26,36.99,1.71,1.16,13.97,8.15,55.8,12.2,70,56.4
antôniojoão,2012-2013,n,112,2,0,1,0,0,0,1,1,0,0,0,1,00-20,4.62,5.22,35.34,14.18,52.88,0.36,3.6,0.95,0.49,6.37,4.91,11.28,43.53,26.88,1.39,0.24,4.68,18.41,33.06,3.79,3.19,31.91,8.42,52.3,7.14,67,56.4
antôniojoão,2012-2013,w,104,2,0,1,0,0,0,1,1,0,0,0,1,20-40,4.27,4.89,24.46,1.97,52.88,0.1,1.2,0.7,1.85,6.59,2,8.59,23.28,82.66,0.74,0.23,4.52,12.26,36.99,1.71,1.16,13.97,8.15,55.8,12.2,70,39.9
antôniojoão,2012-2013,w,104,2,0,1,0,0,0,1,1,0,0,0,1,00-20,4.62,5.22,35.34,14.18,52.88,0.36,3.6,0.95,0.49,6.37,4.91,11.28,43.53,26.88,1.39,0.24,4.68,18.41,33.06,3.79,3.19,31.91,8.42,52.3,7.14,67,39.9
antôniojoão,2012-2013,t,105,3,0,1,0,0,0,1,1,0,0,0,1,20-40,4.27,4.89,24.46,1.97,52.88,0.1,1.2,0.7,1.85,6.59,2,8.59,23.28,82.66,0.74,0.23,4.52,12.26,36.99,1.71,1.16,13.97,8.15,55.8,12.2,70,50.5
antôniojoão,2012-2013,t,105,3,0,1,0,0,0,1,1,0,0,0,1,00-20,4.62,5.22,35.34,14.18,52.88,0.36,3.6,0.95,0.49,6.37,4.91,11.28,43.53,26.88,1.39,0.24,4.68,18.41,33.06,3.79,3.19,31.91,8.42,52.3,7.14,67,50.5
antôniojoão,2012-2013,b,97,2,0,1,0,0,0,1,1,0,0,0,1,20-40,4.27,4.89,24.46,1.97,52.88,0.1,1.2,0.7,1.85,6.59,2,8.59,23.28,82.66,0.74,0.23,4.52,12.26,36.99,1.71,1.16,13.97,8.15,55.8,12.2,70,46.8
antôniojoão,2012-2013,b,97,2,0,1,0,0,0,1,1,0,0,0,1,00-20,4.62,5.22,35.34,14.18,52.88,0.36,3.6,0.95,0.49,6.37,4.91,11.28,43.53,26.88,1.39,0.24,4.68,18.41,33.06,3.79,3.19,31.91,8.42,52.3,7.14,67,46.8
antôniojoão,2012-2013,b,110,2,0,1,0,0,0,1,1,0,0,0,1,20-40,4.27,4.89,24.46,1.97,52.88,0.1,1.2,0.7,1.85,6.59,2,8.59,23.28,82.66,0.74,0.23,4.52,12.26,36.99,1.71,1.16,13.97,8.15,55.8,12.2,70,39.6
antôniojoão,2012-2013,b,110,2,0,1,0,0,0,1,1,0,0,0,1,00-20,4.62,5.22,35.34,14.18,52.88,0.36,3.6,0.95,0.49,6.37,4.91,11.28,43.53,26.88,1.39,0.24,4.68,18.41,33.06,3.79,3.19,31.91,8.42,52.3,7.14,67,39.6
antôniojoão,2012-2013,s,102,2,0,1,0,0,0,1,1,0,0,0,1,20-40,4.27,4.89,24.46,1.97,52.88,0.1,1.2,0.7,1.85,6.59,2,8.59,23.28,82.66,0.74,0.23,4.52,12.26,36.99,1.71,1.16,13.97,8.15,55.8,12.2,70,53.8
antôniojoão,2012-2013,s,102,2,0,1,0,0,0,1,1,0,0,0,1,00-20,4.62,5.22,35.34,14.18,52.88,0.36,3.6,0.95,0.49,6.37,4.91,11.28,43.53,26.88,1.39,0.24,4.68,18.41,33.06,3.79,3.19,31.91,8.42,52.3,7.14,67,53.8
antôniojoão,2014-2015,5,97,2,0,0,1,0,1,0,0,1,0,1,0,20-40,4.27,4.89,24.46,1.97,52.88,0.1,1.2,0.7,1.85,6.59,2,8.59,23.28,82.66,0.74,0.23,4.52,12.26,36.99,1.71,1.16,13.97,8.15,55.8,12.1,70,56.5
antôniojoão,2014-2015,5,97,2,0,0,1,0,1,0,0,1,0,1,0,00-20,4.62,5.22,35.34,14.18,52.88,0.36,3.6,0.95,0.49,6.37,4.91,11.28,43.53,26.88,1.39,0.24,4.68,18.41,33.06,3.79,3.19,31.91,8.42,52.3,0,67,56.5
antôniojoão,2014-2015,i,115,A,0,0,1,0,1,0,0,1,0,1,0,20-40,4.27,4.89,24.46,1.97,52.88,0.1,1.2,0.7,1.85,6.59,2,8.59,23.28,82.66,0.74,0.23,4.52,12.26,36.99,1.71,1.16,13.97,8.15,55.8,12.1,70,65.4
antôniojoão,2014-2015,i,115,A,0,0,1,0,1,0,0,1,0,1,0,00-20,4.62,5.22,35.34,14.18,52.88,0.36,3.6,0.95,0.49,6.37,4.91,11.28,43.53,26.88,1.39,0.24,4.68,18.41,33.06,3.79,3.19,31.91,8.42,52.3,0,67,65.4
antôniojoão,2014-2015,f,104,3,0,0,1,0,1,0,0,1,0,1,0,20-40,4.27,4.89,24.46,1.97,52.88,0.1,1.2,0.7,1.85,6.59,2,8.59,23.28,82.66,0.74,0.23,4.52,12.26,36.99,1.71,1.16,13.97,8.15,55.8,12.1,70,62.6
antôniojoão,2014-2015,f,104,3,0,0,1,0,1,0,0,1,0,1,0,00-20,4.62,5.22,35.34,14.18,52.88,0.36,3.6,0.95,0.49,6.37,4.91,11.28,43.53,26.88,1.39,0.24,4.68,18.41,33.06,3.79,3.19,31.91,8.42,52.3,0,67,62.6
antôniojoão,2014-2015,d,108,1,0,0,1,0,1,0,0,1,0,1,0,20-40,4.27,4.89,24.46,1.97,52.88,0.1,1.2,0.7,1.85,6.59,2,8.59,23.28,82.66,0.74,0.23,4.52,12.26,36.99,1.71,1.16,13.97,8.15,55.8,12.1,70,62.2
antôniojoão,2014-2015,d,108,1,0,0,1,0,1,0,0,1,0,1,0,00-20,4.62,5.22,35.34,14.18,52.88,0.36,3.6,0.95,0.49,6.37,4.91,11.28,43.53,26.88,1.39,0.24,4.68,18.41,33.06,3.79,3.19,31.91,8.42,52.3,0,67,62.2
antôniojoão,2014-2015,s,116,A,0,0,1,0,1,0,0,1,0,1,0,20-40,4.27,4.89,24.46,1.97,52.88,0.1,1.2,0.7,1.85,6.59,2,8.59,23.28,82.66,0.74,0.23,4.52,12.26,36.99,1.71,1.16,13.97,8.15,55.8,12.1,70,63.7
antôniojoão,2014-2015,s,116,A,0,0,1,0,1,0,0,1,0,1,0,00-20,4.62,5.22,35.34,14.18,52.88,0.36,3.6,0.95,0.49,6.37,4.91,11.28,43.53,26.88,1.39,0.24,4.68,18.41,33.06,3.79,3.19,31.91,8.42,52.3,0,67,63.7
