material,site,ciclo,safra,epoca,rain_q1.low,rain_q1.med,rain_q1.high,rain_q2.norain,rain_q2.low,rain_q2.med,rain_q3.norain,rain_q3.low,rain_q4.low,rain_q4.med,rain_q4.high,productivity
cd,dourados,108,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,45
br,eldorado,114.5,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,70
br,eldorado,114,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,69
vm,eldorado,106,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,62
vm,eldorado,105,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,61
fp,eldorado,120,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,61
br,eldorado,100,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,58
cd,eldorado,104,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,57
cd,eldorado,108,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,50
br,lagunacarapã,113,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,46
br,lagunacarapã,100,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,45
vm,lagunacarapã,102,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,41
fp,lagunacarapã,110,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,38
na,lagunacarapã,108,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,38
br,lagunacarapã,115,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,38
cd,lagunacarapã,115,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,35
vm,lagunacarapã,110,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,33
na,lagunacarapã,112,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,33
cd,lagunacarapã,115,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,29
vm,maracaju,119,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,29
br,maracaju,115,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,28
br,maracaju,116,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,25.4
br,maracaju,112,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,23.7
vm,maracaju,111,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,23.6
br,maracaju,114,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,21
fp,maracaju,113,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,18.9
cd,maracaju,109,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,17.1
br,maracaju,117,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,15.9
br,maracaju,108,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,14.7
na,maracaju,112,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,10.9
cd,maracaju,108,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,7.9
br,maracaju,110,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,42.4
br,maracaju,118,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,41.3
br,maracaju,116,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,39.6
cd,maracaju,114,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,38.6
br,maracaju,120,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,38
br,maracaju,116,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,37.6
ms,maracaju,134,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,37.1
cd,maracaju,137,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,36.6
br,maracaju,124,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,35.6
br,maracaju,116,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,35.5
br,maracaju,130,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,34.6
br,maracaju,117,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,34.4
na,maracaju,108,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,34
br,maracaju,134,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,33.7
vm,maracaju,110,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,33.4
ft,maracaju,122,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,33.2
cd,maracaju,132,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,33
fu,maracaju,132,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,32.7
fp,maracaju,112,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,31.9
br,maracaju,107,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,31.6
cd,maracaju,126,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,30.8
cd,maracaju,110,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,30
br,maracaju,120,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,28.7
na,maracaju,135,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,28.7
br,maracaju,134,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,28.1
br,maracaju,117,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,27.6
br,maracaju,118,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,27.1
br,maracaju,131,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,26.7
em,maracaju,116,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,24.4
cd,maracaju,116,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,24.3
cd,maracaju,111,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,24.2
na,maracaju,105,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,19
na,maracaju,98,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,16.4
na,maracaju,99,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,14.7
br,naviraí,108,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,57
vm,naviraí,115,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,53
na,naviraí,117.5,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,53
na,naviraí,106,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,52
br,naviraí,112,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,51
cd,naviraí,99,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,48
vm,naviraí,115.5,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,46
fp,naviraí,116,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,45
cd,naviraí,114,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,38
br,naviraí,103,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,32
br,naviraí,101,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,49
br,naviraí,113,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,47
cd,naviraí,114,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,46
br,naviraí,109,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,45
br,naviraí,103,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,45
br,naviraí,114,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,45
br,naviraí,109,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,44
br,naviraí,96,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,42
ft,naviraí,116,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,41
br,naviraí,108,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,41
em,naviraí,115,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,40
br,naviraí,110,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,40
br,naviraí,116,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,40
cd,naviraí,108,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,40
br,naviraí,116,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,39
br,naviraí,104,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,39
na,naviraí,115,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,38
fp,naviraí,106,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,37
br,naviraí,111,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,36
br,naviraí,115,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,36
na,naviraí,115,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,33
na,naviraí,113,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,27
na,naviraí,114.5,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,21
na,naviraí,125,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,14
br,pontaporã,108,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,41
fp,pontaporã,99,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,34
br,pontaporã,100,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,34
vm,pontaporã,116,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,32
na,pontaporã,97,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,31
cd,pontaporã,108,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,30
br,pontaporã,120,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,29
na,pontaporã,106,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,29
vm,pontaporã,105,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,25
cd,pontaporã,108,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,20
ft,riobrilhante,121,2008-2009,3,0,0,0,0,0,0,0,0,0,1,0,68
br,riobrilhante,105,2008-2009,3,0,0,0,0,0,0,0,0,0,1,0,66
br,riobrilhante,110,2008-2009,3,0,0,0,0,0,0,0,0,0,1,0,64
br,riobrilhante,106,2008-2009,3,0,0,0,0,0,0,0,0,0,1,0,63
br,riobrilhante,108,2008-2009,3,0,0,0,0,0,0,0,0,0,1,0,62
br,riobrilhante,125,2008-2009,3,0,0,0,0,0,0,0,0,0,1,0,61
br,riobrilhante,97,2008-2009,3,0,0,0,0,0,0,0,0,0,1,0,61
cd,riobrilhante,115,2008-2009,3,0,0,0,0,0,0,0,0,0,1,0,61
fp,riobrilhante,106,2008-2009,3,0,0,0,0,0,0,0,0,0,1,0,58
br,riobrilhante,102,2008-2009,3,0,0,0,0,0,0,0,0,0,1,0,57
cd,riobrilhante,99,2008-2009,3,0,0,0,0,0,0,0,0,0,1,0,55
br,riobrilhante,110,2008-2009,3,0,0,0,0,0,0,0,0,0,1,0,55
br,riobrilhante,115,2008-2009,3,0,0,0,0,0,0,0,0,0,1,0,54
cd,riobrilhante,102,2008-2009,3,0,0,0,0,0,0,0,0,0,1,0,53
br,riobrilhante,114,2008-2009,3,0,0,0,0,0,0,0,0,0,1,0,53
fu,riobrilhante,101,2008-2009,3,0,0,0,0,0,0,0,0,0,1,0,53
br,riobrilhante,115,2008-2009,3,0,0,0,0,0,0,0,0,0,1,0,51
na,riobrilhante,97,2008-2009,3,0,0,0,0,0,0,0,0,0,1,0,51
cd,riobrilhante,102,2008-2009,3,0,0,0,0,0,0,0,0,0,1,0,50
em,riobrilhante,110,2008-2009,3,0,0,0,0,0,0,0,0,0,1,0,50
br,riobrilhante,101,2008-2009,3,0,0,0,0,0,0,0,0,0,1,0,50
br,riobrilhante,110,2008-2009,3,0,0,0,0,0,0,0,0,0,1,0,48
br,riobrilhante,104,2008-2009,3,0,0,0,0,0,0,0,0,0,1,0,48
br,sãogabrieldooeste,106,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,76.2
na,sãogabrieldooeste,137,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,74.5
na,sãogabrieldooeste,104,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,70.6
na,sãogabrieldooeste,119,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,69.1
br,sãogabrieldooeste,109,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,66.2
ms,sãogabrieldooeste,111,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,65.5
tm,sãogabrieldooeste,111,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,62.6
na,sãogabrieldooeste,111,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,62.5
na,sãogabrieldooeste,124,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,61.8
br,sãogabrieldooeste,109,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,61.7
fp,sãogabrieldooeste,106,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,61.7
br,sãogabrieldooeste,112,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,59.8
na,sãogabrieldooeste,123,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,58.7
br,sãogabrieldooeste,100,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,58.7
br,sãogabrieldooeste,114,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,76
na,sãogabrieldooeste,119,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,72.9
br,sãogabrieldooeste,125,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,72.3
na,sãogabrieldooeste,125,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,71.6
br,sãogabrieldooeste,122,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,71.3
br,sãogabrieldooeste,120,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,70.5
br,sãogabrieldooeste,117,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,70.2
cd,sãogabrieldooeste,130,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,67.7
br,sãogabrieldooeste,120,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,67.2
br,sãogabrieldooeste,116,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,67.1
ms,sãogabrieldooeste,126,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,66.6
br,sãogabrieldooeste,112,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,65.6
br,sãogabrieldooeste,117,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,64.8
na,sãogabrieldooeste,115,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,64.7
cd,sãogabrieldooeste,125,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,64.7
br,sãogabrieldooeste,117,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,64
cd,sãogabrieldooeste,118,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,63.9
na,sãogabrieldooeste,122,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,63.8
ms,sãogabrieldooeste,122,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,63.3
br,sãogabrieldooeste,113,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,62.2
ms,sãogabrieldooeste,113,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,61.8
br,sãogabrieldooeste,122,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,61.7
br,sãogabrieldooeste,112,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,61.5
na,sãogabrieldooeste,134,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,60.5
cd,sãogabrieldooeste,136,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,59.4
fu,sãogabrieldooeste,124,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,59.3
cd,sãogabrieldooeste,106,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,58.6
cd,sãogabrieldooeste,121,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,58.5
na,sãogabrieldooeste,109,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,58
fp,sãogabrieldooeste,109,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,57.2
br,sãogabrieldooeste,114,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,56.8
br,sãogabrieldooeste,115,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,55.4
cd,sãogabrieldooeste,140,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,51.2
cd,sãogabrieldooeste,111,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,50.4
cd,sãogabrieldooeste,115,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,31.3
ms,sãogabrieldooeste,140,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,30.5
cd,sãogabrieldooeste,126,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,28.8
br,sidrolândia,105,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,50.5
br,sidrolândia,112,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,50.3
ft,sidrolândia,110.5,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,43.4
br,sidrolândia,118,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,40.8
cd,sidrolândia,108,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,40.4
cd,sidrolândia,114,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,40.3
fu,sidrolândia,104,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,38.4
br,sidrolândia,108,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,38.1
br,sidrolândia,130,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,35.2
br,sidrolândia,113,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,34.5
br,sidrolândia,114,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,33.9
br,sidrolândia,110,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,31.6
cd,sidrolândia,120,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,31.5
br,sidrolândia,113,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,31
cd,sidrolândia,109,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,31
br,sidrolândia,108,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,30.9
na,sidrolândia,118,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,29.9
vm,sidrolândia,105,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,28.8
na,sidrolândia,93,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,28.8
na,sidrolândia,115,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,27.9
cd,sidrolândia,109,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,27.2
br,sidrolândia,132,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,25.3
cd,sidrolândia,110.5,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,20.4
fp,sidrolândia,103,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,7.5
cd,sonora,117,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,50.3
br,sonora,124,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,47.8
ms,sonora,120,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,46.4
br,sonora,118,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,45.5
br,sonora,108,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,44.6
ms,sonora,125,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,44.2
cd,sonora,120,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,43.8
fu,sonora,118,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,43.6
cd,sonora,116,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,42.6
fp,sonora,108,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,41.4
cd,sonora,118,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,39.7
br,sonora,112,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,39.4
br,sonora,128,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,36.9
br,sonora,118,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,24.7
cd,sonora,99,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,15.8
br,antôniojoão,108,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,70.7
br,antôniojoão,110,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,70.5
br,antôniojoão,108,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,69.7
sy,antôniojoão,118,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,69.4
br,antôniojoão,113,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,68.5
sy,antôniojoão,103,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,68.4
br,antôniojoão,112,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,67.4
br,antôniojoão,110,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,67.3
fp,antôniojoão,108,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,67.2
br,antôniojoão,111,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,67.1
cd,antôniojoão,102,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,65.3
br,antôniojoão,110,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,64.9
vm,antôniojoão,100,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,63.9
ms,antôniojoão,117,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,63.4
br,antôniojoão,113,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,62.6
ms,antôniojoão,102,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,62.3
cd,antôniojoão,105,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,61.8
cd,antôniojoão,100,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,61.5
cd,antôniojoão,104,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,61.4
ft,antôniojoão,100,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,61.2
br,antôniojoão,110,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,60.6
5d,antôniojoão,111,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,60.6
m6,antôniojoão,100,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,59.3
vm,antôniojoão,106,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,58.8
5d,antôniojoão,100,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,58.8
sy,antôniojoão,124,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,57.6
m6,antôniojoão,104,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,57.1
ft,antôniojoão,102,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,56.8
fp,antôniojoão,102,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,56.7
cd,antôniojoão,110,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,56.5
5d,antôniojoão,105,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,56.1
br,antôniojoão,120,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,56
cd,antôniojoão,103,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,55.8
ms,antôniojoão,100,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,54.5
sy,antôniojoão,112,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,54.1
cd,antôniojoão,120,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,53.7
5d,antôniojoão,100,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,49.9
cd,antôniojoão,108,2009-2010,3,0,0,1,1,0,0,0,1,0,0,1,49.6
na,aralmoreira,111,2009-2010,1,0,0,1,1,0,0,0,1,0,0,1,74.8
br,aralmoreira,105.5,2009-2010,1,0,0,1,1,0,0,0,1,0,0,1,74.8
br,aralmoreira,114,2009-2010,1,0,0,1,1,0,0,0,1,0,0,1,70.7
cd,aralmoreira,129,2009-2010,1,0,0,1,1,0,0,0,1,0,0,1,69.7
br,aralmoreira,120,2009-2010,1,0,0,1,1,0,0,0,1,0,0,1,69
fp,aralmoreira,134,2009-2010,1,0,0,1,1,0,0,0,1,0,0,1,68.1
br,aralmoreira,109,2009-2010,1,0,0,1,1,0,0,0,1,0,0,1,67.7
na,aralmoreira,100,2009-2010,1,0,0,1,1,0,0,0,1,0,0,1,67.6
br,aralmoreira,104,2009-2010,1,0,0,1,1,0,0,0,1,0,0,1,67.1
na,aralmoreira,108,2009-2010,1,0,0,1,1,0,0,0,1,0,0,1,66.8
br,aralmoreira,106,2009-2010,1,0,0,1,1,0,0,0,1,0,0,1,65.7
br,aralmoreira,134,2009-2010,1,0,0,1,1,0,0,0,1,0,0,1,65.2
br,aralmoreira,96,2009-2010,1,0,0,1,1,0,0,0,1,0,0,1,64.7
vm,aralmoreira,110,2009-2010,1,0,0,1,1,0,0,0,1,0,0,1,63.7
