site,material,depth,rain_q1.low,rain_q1.med,rain_q1.high,rain_q2.norain,rain_q2.low,rain_q2.med,rain_q3.norain,rain_q3.low,rain_q4.low,rain_q4.med,rain_q4.high,PH_CACL2,PH_AGUA,MO_GDM3,P_meh_MG_DM3,P_res_MG_DM3,K_MG_DM3,CA_CMOLCDM3,MG_CMOLCDM3,AL_CMOLCDM3,H_Al_CMOLCDM3,SOM_BASES,CTC,SAT_BASES,S_MG_DM3,ZN_MG_DM3,B_MG_DM3,CU_MG_DM3,MN_MG_DM3,FE_MG_DM3,REL_CAMG,SATPOR_K,SATPOR_CA,SATPOR_MG,SATPOR_H,SATDE_AL,ARGILA,productivity
aralmoreira,2b,20-40,0,1,0,0,0,1,1,0,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,75.5
aralmoreira,cd,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,82.3
aralmoreira,cd,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,82.3
aralmoreira,b7,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,74
aralmoreira,b7,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,74
aralmoreira,br,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,83.4
aralmoreira,br,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,83.4
aralmoreira,hs,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,77.7
aralmoreira,hs,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,77.7
aralmoreira,dk,00-20,0,1,0,0,0,1,1,0,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,80.6
aralmoreira,dk,20-40,0,1,0,0,0,1,1,0,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,80.6
aralmoreira,90,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,101.4
aralmoreira,90,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,101.4
aralmoreira,p3,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,68.4
aralmoreira,p3,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,68.4
aralmoreira,p3,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,96.5
aralmoreira,p3,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,96.5
aralmoreira,cd,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,92.3
aralmoreira,cd,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,92.3
aralmoreira,dk,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,83.4
aralmoreira,dk,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,83.4
aralmoreira,sh,00-20,0,0,1,1,0,0,1,0,1,0,0,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,99.7
aralmoreira,sh,20-40,0,0,1,1,0,0,1,0,1,0,0,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,99.7
aralmoreira,ag,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,96.2
aralmoreira,ag,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,96.2
aralmoreira,2b,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,100.1
aralmoreira,2b,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,100.1
aralmoreira,br,00-20,0,1,0,0,0,1,1,0,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,76.5
aralmoreira,br,20-40,0,1,0,0,0,1,1,0,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,76.5
aralmoreira,bf,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,82.3
aralmoreira,bf,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,82.3
aralmoreira,bx,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,61.9
aralmoreira,bx,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,61.9
aralmoreira,bg,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,74
aralmoreira,bg,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,74
aralmoreira,30,00-20,0,1,0,0,0,1,1,0,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,71.2
aralmoreira,30,20-40,0,1,0,0,0,1,1,0,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,71.2
aralmoreira,2b,00-20,0,1,0,0,0,1,1,0,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,80.7
aralmoreira,2b,20-40,0,1,0,0,0,1,1,0,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,80.7
aralmoreira,rb,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,80.6
aralmoreira,rb,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,80.6
aralmoreira,rb,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,80.1
aralmoreira,rb,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,80.1
aralmoreira,bx,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,49.4
aralmoreira,bx,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,49.4
aralmoreira,mg,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,80
aralmoreira,mg,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,80
aralmoreira,bx,00-20,0,1,0,0,0,1,1,0,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,65
aralmoreira,bx,20-40,0,1,0,0,0,1,1,0,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,65
aralmoreira,gn,00-20,0,1,0,0,0,1,1,0,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,70
aralmoreira,gn,20-40,0,1,0,0,0,1,1,0,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,70
aralmoreira,as,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,83.4
aralmoreira,as,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,83.4
aralmoreira,p3,00-20,0,1,0,0,0,1,1,0,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,70
aralmoreira,p3,20-40,0,1,0,0,0,1,1,0,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,70
aralmoreira,ag,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,84
aralmoreira,ag,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,84
aralmoreira,bx,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,87.1
aralmoreira,bx,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,87.1
aralmoreira,ag,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,107.1
